KeywordOrClause,GrammarProduction,Category,ReadOnlyRelevance,CurrentStatus,Priority,TargetPhase,ImplementationNotes,JavaPythonParity,Source
MATCH,<match statement>,Read clause,Core read-only feature,Partially supported,P0,Phase 0,"Harden fixed-length node/relationship patterns, anonymous nodes, direction, relationship property projections, multi-label resolution, and schema-driven joins.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
WHERE,<where clause>,Read filter,Core read-only feature,Partially supported,P0,Phase 0,"Expand predicates beyond simple comparisons/logical expressions; cover null predicates, string predicates, IN, label predicates, and relationship property predicates.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
RETURN,<return statement>,Result clause,Core read-only feature,Partially supported,P0,Phase 0,"Continue expanding projections, aliases, variables, properties, edge variables, expressions, functions, CASE, and RETURN *.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
CASE,<case expression>,Expression,Core expression feature,Partially supported,P0,Phase 0,"Keep simple and searched CASE rendering aligned across Java/Python; add null and type edge cases.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Function invocation,<function invocation>,Expression,Core expression feature,Partially supported,P1,Phase 1,"Implement supported function registry with SQL rendering per grammar; start with aggregate, null, numeric, string, cast, and identity functions.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
DISTINCT,<set quantifier>,Result modifier,Core read-only feature,Not complete,P1,Phase 1,"Support RETURN DISTINCT and WITH DISTINCT; ensure aggregation/grouping rules are explicit.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
ORDER BY,<order by clause>,Result ordering,Core read-only feature,Not supported,P1,Phase 1,"Render ORDER BY for RETURN and WITH; support ASC, ASCENDING, DESC, DESCENDING.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
SKIP/OFFSET,<offset clause>,Pagination,Core read-only feature,Not supported,P1,Phase 1,"Map SKIP/OFFSET to SQL OFFSET where supported; define grammar behavior for engines requiring LIMIT with OFFSET.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
LIMIT,<limit clause>,Pagination,Core read-only feature,Not supported,P1,Phase 1,"Render SQL LIMIT/FETCH depending on grammar implementation.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Parameters,<general parameter reference>,Expression,Core production feature,Not supported,P1,Phase 1,"Parse Cypher parameters and render bind placeholders without string interpolation; define Java/Python parameter APIs.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
OPTIONAL MATCH,<optional match statement>,Read clause,High-value read-only feature,Not supported,P1,Phase 2,"Translate to SQL outer joins and preserve Cypher null-extension semantics; test mixed MATCH and OPTIONAL MATCH.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
WITH,<with statement>,Pipeline clause,High-value read-only feature,Placeholder only,P1,Phase 2,"Implement query pipeline boundaries, variable scope, projection aliases, aggregation, ordering, pagination, and post-WITH WHERE.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Multiple MATCH clauses,<linear statement>,Pipeline/read composition,High-value read-only feature,Limited through parsed patterns,P1,Phase 2,"Represent multiple primitive query statements explicitly rather than flattening all patterns into one boundary.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Property maps in patterns,<element property specification>,Pattern predicate,High-value read-only feature,Parsed only in limited ways,P1,Phase 2,"Translate node and relationship property maps into predicates using schema property-to-column mapping.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Label expressions,<label expression>,Pattern predicate,High-value read-only feature,Partially supported,P2,Phase 2,"Support OR, AND, NOT, wildcard, and IS label expression forms; connect to inheritance and multi-label schema resolution.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
UNION,<composite conjunction>,Set composition,Read-only feature for SELECT results,Not supported,P2,Phase 3,"Render compatible SELECT branches with UNION distinct semantics.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
UNION ALL,<composite conjunction>,Set composition,Read-only feature for SELECT results,Not supported,P2,Phase 3,"Render compatible SELECT branches with UNION ALL semantics.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
UNWIND,<unwind statement>,Row expansion,Useful read-only feature,Not supported,P2,Phase 3,"Map list expressions or parameter lists to SQL row sources where the target grammar supports it.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Aggregations,<function invocation>,Expression/result semantics,Core analytics feature,Partially supported,P2,Phase 3,"Complete COUNT, SUM, AVG, MIN, MAX, grouping, zero-row semantics, DISTINCT inside aggregates, and HAVING-like WITH/WHERE interactions.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Path variables,<path variable declaration>,Path read feature,Useful read-only feature,Not supported,P3,Phase 4,"Define SQL representation for full paths before rendering path projections.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Variable-length relationship paths,<path length>,Path read feature,Advanced read-only feature,Explicit unsupported placeholder,P3,Phase 4,"Use recursive CTE strategy where possible; define bounds, cycle handling, and performance guardrails.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Quantified path patterns,<graph pattern quantifier>,Path read feature,Advanced read-only feature,Not supported,P3,Phase 4,"Map fixed and bounded quantifiers to recursive SQL or query expansion based on bounds.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Shortest path,<shortest path search>,Path read feature,Advanced/deferred read feature,Not supported,P4,Phase 4,"Requires graph traversal semantics beyond ordinary joins; defer until recursive path model exists.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
EXISTS subquery,<exists expression>,Subquery expression,Useful read-only feature,Not supported,P3,Phase 4,"Map EXISTS { graph pattern } to SQL EXISTS subqueries; procedure specification form needs pipeline support first.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
CALL ... YIELD,<call procedure statement>,Procedure clause,Optional read-only feature,Not supported,P4,Phase 4,"Only support read-only procedure sources when a registry maps procedure output columns to SQL sources.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Standalone CALL,<standalone procedure call>,Procedure statement,Optional read-only feature,Not supported,P4,Phase 4,"Treat as external table-valued source only with explicit registry; otherwise remain unsupported.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Map projection,<map projection>,Expression,Optional read-only feature,Not supported,P4,Phase 4,"Requires deciding whether SQL output is JSON, structured columns, or unsupported.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
